Subject,Predicate,Object
uvl,maintain,consortium institution
arithmetic level constraint,directly represent,cp problem
boolean level cross-tree constraints,include,constant
arithmetic level constraint,minor level,aggregate function
string constraint,be,optional extension arithmetic level
include mechanism,provide information,language level
boolean level cross-tree constraints,arithmetic level include,support arithmetic operator
uvl,integrate,v4rdiac
boolean level minor level,include,arithmetic-level
feature tree,allow composition,import mechanism
arithmetic level constraint,support operator,*
feature tree,be,hierarchically arrange set feature
language extension,provide information,language level
uvl,have,formal syntax
type level,support,include string length check
arithmetic operator,include,+
boolean level cross-tree constraints,be,main uvl model
uvl,support,string constraint
boolean level cross-tree constraints,include,function
boolean level cross-tree constraints,be,inclusion statement
boolean level cross-tree constraints,predicate connect,term
uvl,be use for,tool interoperability
boolean level minor level,encapsulate,specific language construct
uvl,integrate,uvls
boolean level cross-tree constraints,include,require
predicate,include,<=
boolean level cross-tree constraints,type level,len function
arithmetic level constraint,extend,type level
term,include,binary expression
boolean level cross-tree constraints,impact,configuration space
boolean level cross-tree constraints,use operator,&
boolean level minor level,represent,cnf instance
arithmetic level constraint,support operator,>
boolean level cross-tree constraints,combine,predicate
uvl core language constraint,exclude,exclude constraint attribute
arithmetic level constraint,support,avg
type level,allow feature,deselecte
arithmetic operator,include,*
boolean level minor level,include,cross-tree constraints
type level,drop string constraint,conversion
uvl,be use for,knowledge sharing
uvl,design goal,information hiding
language extension,introduce,additional construct
feature tree,represent hierarchy,indentation
feature tree,contain,thousand feature
language extension,allow user tailor model,use case
boolean level cross-tree constraints,core language,propositional logic
type level,introduce,string feature
arithmetic level constraint,extend,convert boolean level
feature tree,decompose,submodel
boolean level cross-tree constraints,boolean variable refer,feature name
feature tree,consist,feature name
boolean level cross-tree constraints,satisfy,configuration validity
aggregate function,include,average
boolean level cross-tree constraints,involve,contextual clone constraint
boolean level minor level,support,featureide
arithmetic level constraint,encapsulate,specific language construct
boolean level cross-tree constraints,include,exclude
uvl,integrate,flamapy
uvl,parser implementation,java
boolean level cross-tree constraints,predicate connect,operator
boolean variable,refer,feature name
language extension,provide,construct numeric constraint
uvl,support,construct type feature
boolean level cross-tree constraints,function include,average
arithmetic level constraint,require process,sat encode
feature tree,support,alternative group
propositional logic operator,include,|
uvl,integrate,variability.dev
feature tree,feature,attribute
propositional logic operator,include,<=>
predicate,specify dependency base,numerical value
boolean level cross-tree constraints,use,bracket
boolean level cross-tree constraints,type level include,string comparison
feature tree,exist,cross-tree constraints
uvl,allow,language extension
boolean level cross-tree constraints,interact feature cardinality,contextual clone constraint
boolean level cross-tree constraints,predicate use operator,<=
include mechanism,allow user specify,language extension
uvl,pivot model,travart
type level,convert,arithmetic level
include mechanism,ensure,tool compatibility
boolean level minor level,include,feature tree
uvl,design goal,simplicity
feature tree,root feature include,configuration
uvl,support,group cardinality
aggregate function,be,optional extension arithmetic level
feature tree,decompose,subpart
boolean level cross-tree constraints,be,arbitrary propositional formulae
language extension,ensure,tool compatibility
arithmetic operator,include,<=
boolean level minor level,support,pure::variant
feature tree,support,group cardinality
boolean level minor level,support,fm fact level
feature tree,feature,unique identifier
uvl,support,optional relationship
predicate,include,>
feature tree,require process,exactly root feature
uvl,design goal,expressiveness need
boolean level cross-tree constraints,support,aggregate function
boolean level minor level,include,optional relationship
type level,introduce,float feature
type level,transform typed feature,boolean feature attribute
type level,support,len function
uvl,enable,decomposition large model
boolean level cross-tree constraints,represent,feature relationship
aggregate function,include,sum
language extension,call,language level
language extension,specify,include keyword
uvl,represent hierarchy,indentation
uvl,be,textual language
type level,extend,convert boolean level
feature tree,import,subtree
uvl,consist,feature tree
boolean level cross-tree constraints,compose model reference feature,alias
type level,minor level,string constraint
boolean level cross-tree constraints,function include,sum
group cardinality,be,extension boolean level
arithmetic level constraint,include,wildcard
boolean level minor level,store,feature information
language extension,allow,representation different feature
uvl,be,open-source format
compose model constraint,reference feature,alias
boolean level cross-tree constraints,binary expression include,-
conversion strategy,translate,high level construct low level
uvl,design goal,exchangeability
contextual clone constraint,create,feature cardinality
uvl,serve,pivot language
boolean level cross-tree constraints,be,exclusion statement
cross-tree constraints cloned features,replace occurrence,clone feature
uvl,structure,arithmetic level
uvl,provide,import mechanism
feature tree,be,main uvl model
uvl,be use for,tool integration
uvl core language constraint,limit,propositional logic
language extension,enhance,expressiveness need
type level,introduce,construct type feature
propositional logic operator,include,!
language extension,encapsulate,specific language construct
uvl,development start,2018
language extension,implement,language level
boolean level cross-tree constraints,uvl core language limit,propositional logic
boolean level minor level,automatically include,minor level
boolean level cross-tree constraints,predicate use operator,>
uvl,stand,uvls
boolean level cross-tree constraints,use operator,|
type-level constraints,support,len function
boolean level cross-tree constraints,interact,feature cardinality
language extension,use,conversion strategy level
arithmetic level constraint,support,operator
arithmetic level constraint,include,convert boolean level
boolean level cross-tree constraints,use operator,<=>
arithmetic level constraint,support operator,<
type level,support,travart
