Subject,Predicate,Object
language level,contains,include type level
uvl,contains,feature tree
numeric-constraints,supports,ceil function
uvl,has,thomas thüm
arithmetic level,supports,subtraction operator
arithmetic level,supports,division operator
uvl,supports,flamapy
uvl,supports,conversion strategy
cross-tree constraints,supports,string equality check
boolean level,supports,flamapy
language level,supports,expressiveness enhancement
uvl,has,namespace referencing
feature tree,represents,parent-child relationships
uvl,contains,import mechanism
cross-tree constraints,reference,boolean-attribute keys
arithmetic level,supports,aggregate function
arithmetic level,supports,arithmetic expression feature
uvl,denotedby,namespace referencing
boolean level,supports,sat solver backend
cross-tree constraints,supports,propositional logic constraint
uvl,denotedby,nmcardinalitie
language extension,contains,minor level
type level,contains,arithmetic
feature,has,feature cardinality
boolean level,defines,boolean core
boolean level,supports,featureide
uvl,denotedby,import keyword
numeric constraint,defines,ceil function
uvl,is,community effort
arithmetic level,contains,numeric constraint
type level,is,extension arithmetic level
feature cardinality,defines,multiple feature selection
uvl,denotedby,sumfunction
boolean level,is,major uvl language level
uvl,supports,composition
logic imply,denotedby,&
arithmetic level,supports,>= operator
uvl,has,include type level
predicate,contains,> operator
uvl,is,human-readable language
feature tree,supports,require relationship
uvl,has,rust-based language server protocol
uvl,ismaintainedby,consortium institution
logic imply,denotedby,!
language extension,group,feature reasoning engine
arithmetic level,denotedby,!=
cross-tree constraints,contains,term
type level,defines,string feature
uvl,supports,tool interoperability
arithmetic level,denotedby,+
uvl,contains,constraint section
boolean level,supports,propositional logic constraint
language level,encapsulate,language construct
language level,is,optional extension
boolean level,has,boolean keyword
arithmetic level,supports,< operator
type level,defines,len operation
cross-tree constraints,contains,! operator
boolean level,denotedby,boolean keyword
uvl,denotedby,=> implication
boolean level,supports,group cardinality
feature tree,is,major uvl model
boolean level,has,feature name
uvl,isdevelopedby,tu braunschweig
feature,contains,group
language extension,supports,diverse modelling need
boolean level,supports,nemo
cross-tree constraints,is,apply import submodel
cross-tree constraints,supports,numeric constraint
cross-tree constraints,denotedby,!
type level,defines,type core
language extension,supports,uvl expressiveness
boolean level,defines,alternative relationship
language extension,defines,additional construct
arithmetic level,supports,avgfunction
uvl,supports,model transformation
arithmetic level,contains,arithmetic core
uvl,denotedby,optional keyword
uvl,supports,variability model sharing
arithmetic level,denotedby,<
uvl,supports,language extension
boolean level,has,group-cardinality minor level
boolean level,is,language level hierarchy
uvl,supports,len operation
type level,supports,len operation
type level,contains,numeric-constraints
uvl,contains,language level declaration
feature tree,contains,boolean keyword
uvl,contains,import section
language extension,encapsulate,relate language feature
uvl,denotedby,curly bracket attribute
type level,supports,configuration arbitrary string value
arithmetic level,supports,inequality operator
constraint section,denotedby,constraints keyword
cross-tree constraints,denotedby,>
boolean level,contains,=> operator
uvl,has,tu braunschweig
feature tree,contains,group
uvl,defines,feature attribute
group cardinality,is,minor level
cross-tree constraints,is,structural component feature model
aggregate function,denotedby,avg
uvl,denotedby,!
uvl,contains,feature section
type level,defines,type feature
language extension,contains,string constraint
feature cardinality,is,minor level
feature tree,is,hierarchical order
uvl,outcome,modevar initiative
uvl,is,support travart
arithmetic level,supports,conversion strategy boolean level
type level,is,support travart
type level,supports,string-constraints
arithmetic level,is,include type level
cross-tree constraints,supports,!= operator
feature tree,allows,decomposition manageable submodel
uvl,has,josé a. galindo
boolean level,has,indentation-based hierarchy
uvl,waslaunchedin,2018
uvl,denotedby,<=> equivalence
arithmetic level,supports,comparison operation
arithmetic level,supports,subtraction operator -
language level,supports,string constraint
feature tree,denotedby,keyword
type level,is,boolean level
language level,has,major level
type level,supports,conversion arithmetic level
uvl,contains,cross-tree constraints
uvl,is,uvl
boolean level,contains,cross-tree constraints
uvl,integrated,flamapy
type level,defines,floor operation
uvl,denotedby,feature name
arithmetic level,denotedby,*
cross-tree constraints,supports,predicate
feature tree,denotedby,indentation hierarchy
feature tree,supports,group cardinality
uvl,isdevelopedby,universidad de sevilla
cross-tree constraints,contains,> operator
uvl,has,kevin feichtinger
uvl,defines,alternative relationship
boolean level,is,extension arithmetic level
type level,contains,string feature
uvl,supports,variability.dev
string constraint,is,minor language level
uvl,is,context-free grammar
language extension,contains,feature-cardinality
cross-tree constraints,contains,function
aggregate function,defines,sum operation
type level,defines,real feature
boolean level,is,component type level
language extension,contains,string-constraints
type level,supports,cp representation
cross-tree constraints,supports,exclude relationship
uvl,denotedby,=> symbol
language extension,contains,boolean level
language level,supports,cardinality keyword
type level,supports,floor operation
cross-tree constraints,denotedby,>=
type core,supports,string feature
uvl,supports,java implementation
feature tree,has,hierarchical arrangement
uvl,has,require relationship
type level,contains,type core
feature tree,denotedby,real feature
boolean level,supports,sit instance encode
feature tree,supports,optional relationship
type level,is,major level
alternative group,denotedby,alternative
uvl,authors,chico sundermann
language extension,contains,group-cardinality
type level,contains,numeric constraint
arithmetic level,supports,> operator
feature tree,contains,optional group
language extension,supports,tailor language specification
uvl,supports,pure::variant support level
cross-tree constraints,is,core concept boolean language level
cross-tree constraints,contains,bracket
type level,has,high hierarchy
cross-tree constraints,supports,namespace referencing
uvl,is,textual variability modeling language
