Subject,Predicate,Object
feature tree keyword,synonymous,feature diagram
boolean level,support,mandatory feature
feature tree keyword,use for,cardinality keyword
feature,may have,feature cardinality
cross-tree constraints,support operator,!
cross-tree constraints,type level,string length constraint
arithmetic level,require,require reasoning engine
arithmetic level,operator,==
boolean core,include,mandatory
aggregate function,include,sum
import submodel,contribute,cross-tree constraints
uvl,develop,tu braunschweig
cross-tree constraints,use comparison operator,!=
cross-tree constraints,use numeric function,floor
uvl,operator,=>
uvl,support operator,<
arithmetic level,support operator,<
minor level,include,aggregate function
cross-tree constraints,use string function,len
arithmetic level,introduce,numerical constraint
uvl,integrate,pure::variant
uvl,use keyword,as
boolean level,operator,<=>
minor language level,consist,major level
boolean level,include,mandatory relationship
type level,include,arithmetic major level
cross-tree constraints,arithmetic level,numeric constraints attribute
boolean level,operator,&
uvl,operator,<=>
type level,extend,boolean level extension
cross-tree constraints,store,-line
chico sundermann,author,uvls
cross-tree constraints,research institution,tu braunschweig
uvl,support,educational instruction
arithmetic level,require,smt solver
arithmetic level,operator,*
conversion strategy,translate,language level type level
arithmetic level,include,feature cardinality
uvl,use function,sum
boolean level,support,variability.dev
boolean level,support,featureide
uvl,intend,human-readable
arithmetic level,include,attribute aggregate
arithmetic level,represent,smt problem
uvl,be,community-driven
feature tree keyword,consist,real feature
boolean level,support,flamapy
feature tree keyword,support,group cardinality
uvl,support operator,>=
arithmetic level,support operator,>=
uvl,support operator,+
minor level,include,feature cardinality
arithmetic level,support operator,+
aggregate function,support,avg
boolean core,include,alternative
boolean level,encode,sit problem
boolean level,analyze,sit solver
rick rabiser,affiliate,johannes kepler university linz
cross-tree constraints,reference,boolean attribute key
type level,add,type feature
feature tree keyword,compose,import
language extension,introduce,additional construct
uvl,institution,university ulm
cross-tree constraints,use arithmetic operator,+
type level,support,include keyword
cross-tree constraints,be part of,feature model
include mechanism,use for,include keyword
uvl,create,2018
thomas thüm,affiliate,tu braunschweig
uvl,designer,thomas thüm
arithmetic level,include function,avg
language extension,call,language level type level
string constraint,introduce,equality check string
cross-tree constraints,connect,import submodel
boolean level,refer,boolean-attribute keys
uvl,origin,modevar initiative
feature tree keyword,use for,indentation tree hierarchy
type feature,include,float feature
uvl,design goal,exchange
uvl,use keyword,real feature
uvl,contributor,josé a. galindo
arithmetic level,operator,<
feature tree keyword,support,concrete feature
uvl,use for,curly bracket attribute
term,include,binary expression
uvl,support,model analysis
uvl,major level,arithmetic
arithmetic level,major level,arithmetic
minor language level,structure,uvls
arithmetic level,conversion strategy,enumerate constraint
arithmetic level,contain,arithmetic expression feature
travart,support,type level conversion
uvl,operation,tool integration
uvl,use for,educational instruction
uvl,use function,ceil
uvl,support operator,|
boolean level,encode,cnf
arithmetic level,operator,>
feature tree keyword,export,featureide xml
arithmetic level,support,avgfunction
string constraint,add,string length constraint
type level,contain core level,type core
boolean level,support,<=> operator
cross-tree constraints,express,inclusion statement
boolean level,be,uvl core language
group,belong,boolean level extension
language extension,include,minor level
feature tree keyword,support,alternative group
uvl,major level,type
boolean level,analyze,bdd
require relationship,imply,feature inclusion
language extension,accommodate,diverse modeling need
uvl,operation,knowledge sharing
cross-tree constraints,support boolean operator,&
feature tree keyword,contain,cross-tree constraints
type level,support,float feature
arithmetic level,reasoning engine,cp solver
rick rabiser,author,uvls
language extension,specify,include keyword
language extension,categorize,complex language construct
arithmetic level,support,inequality operator
uvl,include,arithmetic major level
major level,include,type level conversion
feature tree keyword,allow,composition import mechanism
arithmetic level,allow,term constant
cross-tree constraints,combine,boolean value
aggregate function,introduce,avg
uvl,enable,decompose model
arithmetic level,extend,boolean level extension
arithmetic level,operator,>=
arithmetic level,operator,+
johannes kepler university linz,contribute,uvls
cross-tree constraints,represent,application domain constraint
boolean level,operator,|
type level constraint,include function,len
arithmetic level,contain minor level,aggregate function
cross-tree constraints,subject publication,kevin feichtinger
uvl,operator,|
arithmetic level,represent,cp problem
boolean level,include,cross-tree constraints
cross-tree constraints,component,feature model
arithmetic level,operator,/
boolean level,use for,complete keyword
boolean level,refer,unique feature name
uvl,use keyword,optional
numeric-constraints,introduce,ceil function
david benavides,author,uvls
boolean core,include,propositional logic constraint
uvl,design goal,information hiding
import mechanism,apply,sub-model constraints composed models
type level,support operator,ceil
language extension,differentiate,require reasoning engine
uvl,support operator,sum
feature tree keyword,decompose,subpart
arithmetic level,use for,term numerical feature attribute
uvl,support,composition model
uvl,use function,len
minor language level,include,arithmetic major level
numeric-constraints,allow,ceil
arithmetic level,allow,term numerical feature attribute
uvl,support,decompose model
uvl,initiative start,2018
feature tree keyword,edit,featureide
cross-tree constraints,express,exclusion statement
uvl,support,tool integration
feature tree keyword,include,mandatory
cross-tree constraints,use aggregate function,sum
cross-tree constraints,boolean level,propositional logic constraint
uvl,parser implementation exist,java
feature tree keyword,support,feature attribute
uvl,use keyword,or
boolean level,restrict,propositional logic constraint
type level,introduce,real feature
feature tree keyword,contain,unique feature name
string constraint,include,len
uvl,contributor,rick rabiser
boolean core,include,optional
type level,include,type core
feature tree keyword,decompose,submodel
boolean level,use for,indentation block
boolean level,use for,indentation tree hierarchy
uvl,maintenance,consortium institution
uvl,contributor,david benavides
type level,support,string feature
type level,be a,language level type level
uvl,use keyword,namespace notation
uvl,support,knowledge sharing
boolean level,support,propositional logic constraint
uvl,include,type level conversion
cross-tree constraints,reference submodel feature,dot notation
arithmetic level,contain minor level,feature cardinality
type level,support,string length constraint
uvl,operator,sum
boolean core,include,or
uvl,develop,university ulm
uvl,integrate,nemo
boolean level,operator,=>
feature tree keyword,define,boolean core
arithmetic level,contain minor level,attribute aggregate
uvl,designer,chico sundermann
cross-tree constraints,publication date,2025
minor language level,consist,minor level
uvl,operation,tool interoperability
uvl,model,software variability
university ulm,contribute,uvls
minor language level,act,optional extension
minor language level,include,type level conversion
boolean level,integrate,uvls
conversion strategy,translate,low type level
arithmetic level,target level,type level conversion
cross-tree constraints,evaluate,boolean value
boolean level,contain minor level,group-cardinality
feature tree keyword,support,abstract feature
uvl,integrate,uvls
uvl,support operator,-
feature tree keyword,support,import submodel
feature tree keyword,know,feature diagram
tu braunschweig,contribute,uvls
uvl,feature type,string feature
uvl,support operator,ceil
type level,conversion strategy,transform type feature boolean feature attribute
cross-tree constraints,research institution,university ulm
language extension,be,optional
string-constraints,allow operator,len
cross-tree constraints,satisfy,valid configuration
arithmetic level,operator,!=
boolean level,include keyword,alternative
arithmetic level,support,sumfunction
uvl,support,feature model
uvl,use keyword,alternative
type level,conversion strategy,drop string constraint
uvl,develop,modevar initiative
feature tree keyword,be part of,universal variability language model
feature tree keyword,represent,hierarchical structure variability model
arithmetic level,support,feature attribute
aggregate function,support,sum
type level,include,real feature
type level,conversion strategy,convert arithmetic level
feature tree keyword,include,group
cross-tree constraints,reference,unique feature name
cross-tree constraints,use indentation,block structure
feature tree keyword,utilize,indentation block
language extension,increase,expressiveness
cross-tree constraints,combine,predicate
boolean level,include,group keyword
aggregate function,include,avg
type level,support wildcard,type*
compose model,reference submodel feature,dot notation
language extension,enhance,uvl expressiveness
feature tree keyword,represent,hierarchical structure
arithmetic level,support,division operator
boolean level,encode,sit instance
feature,may have,group
mandatory group,belong,boolean level extension
feature,contain,arbitrary number group
arithmetic level,major level grammar keyword,arithmetic
string-constraints,enable,string comparison
uvl,integrate,travart
travart,support,language level type level
boolean level,allow,feature attribute
feature tree keyword,use for,mandatory keyword
uvl,provide,conversion strategy
uvl,operator,ceil
numeric-constraints,support,floor
string constraint,include,string comparison
cross-tree constraints,include,exclude relationship
uvl,design goal,extensibility
language extension,maintain,simplicity
uvl,develop,university siegen
cross-tree constraints,restrict,product line configuration space
cross-tree constraints,operator,!
uvl,support,language extension
cross-tree constraints,operator,&
arithmetic level,allow,select feature multiple time
feature tree keyword,represent,software variability
cross-tree constraints,follow,feature section
uvl,support operator,len
uvl,integrate,variability.dev
boolean level,contain,group keyword
type level,include,string-constraints
uvl,integrate,featureide
uvl,support,model configuration
valid configuration,satisfy,cross-tree constraints
uvl,support,model transformation
uvl,use function,floor
uvl,support,java parser
boolean level,be,core language
string-constraints,allow operator,==
uvl,use function,avg
cross-tree constraints,specify,feature attribute
boolean level,include,group cardinality
minor language level,encapsulate,complex language construct
boolean level,support,! operator
arithmetic level,support operator,=
cross-tree constraints,express,relationship feature
cross-tree constraints,clone feature interaction,contextual clone constraint
type level,include,numeric-constraints
uvl,contributor,thomas thüm
arithmetic level,receive conversion,type level conversion
boolean level,use for,sit solver
conversion strategy,replace,complex language construct
cross-tree constraints,include,string length constraint
uvl,development start date,2018
predicate,connect,term
boolean level,include,separately feature tree
v4rdiac,support,type level conversion
group cardinality,allow,select n m feature
attribute constraint,exclude,boolean core
type level,introduce,string feature
boolean level,limit constraint,propositional logic constraint
boolean level,support,| operator
uvl,allow,feature attribute
arithmetic level,include,numerical constraint
submodel,attach,arbitrary location feature tree
boolean core,contain,mandatory keyword
aggregate function,introduce,sum
uvl,use hierarchy,nest
boolean core,be,boolean level extension
uvl,initiate,2018
cross-tree constraints,support boolean operator,<=>
david benavides,affiliate,university seville
minor level,include,group cardinality
feature tree keyword,be part of,uvl model
string constraint,extend,type level conversion
minor language level,categorize,major level
feature tree keyword,organize,feature hierarchically
minor language level,extend,uvl core language
arithmetic level,convert,boolean level extension
language extension,structure,language level type level
arithmetic level,require,sat encode
type level,support operator,floor
uvl,institution,kit
type level,include,boolean level extension
minor level,automatically include,major level
type level,extend,arithmetic major level
uvl,syntax,indentation-based
numeric-constraints,allow,floor
arithmetic level,use hierarchy,low type level
major level,follow,hierarchical structure
feature tree keyword,use for,alternative keyword
feature tree keyword,map,parent feature child feature
uvl,support,language level type level
uvl,acronym,uvls
feature tree keyword,include,optional
uvl,structure,tree-like structure
cross-tree constraints,include,propositional formula
uvl,role,pivot language
uvl,allow,feature cardinality
type level,include extension,string length constraint
type level constraint,support,string length constraint
cross-tree constraints,use comparison operator,<=
uvl,use parser generator,antlr
boolean level,contain,feature keyword
uvl,designer,kevin feichtinger
uvl,parser implementation exist,python
predicate,evaluate,boolean value
uvl,support,cross-tree constraints
language extension,consist,major level
language extension,facilitate,tool interoperability
uvl,use keyword,import
aggregate function,extend,arithmetic major level
cross-tree constraints,subject publication,rick rabiser
wildcard *,enable,minor level
boolean level,use for,line-breaks statement endings
valid configuration,satisfy,attach constraint
uvl,use keyword,real
feature tree keyword,include,or
arithmetic level,support,great operator
cross-tree constraints,subject publication,david benavides
cross-tree constraints,reference feature,namespace notation
arithmetic level,support,numeric variable
arithmetic level,support,addition operator
uvl,feature type,real
kevin feichtinger,affiliate,karlsruhe institute technology
boolean level,include,propositional logic constraint
uvl,develop,karlsruhe institute technology
type level,contain minor level,type core
type level,use keyword,string feature
minor language level,group feature,require reasoning engine
boolean level,foundation,arithmetic major level
type level,provide expressiveness,string length constraint
conversion strategy,translate,language extension
uvl,support,type level conversion
cross-tree constraints,reference feature,alias
boolean level,support,cross-tree constraints
uvl,allow,language extension
cross-tree constraints,use comparison operator,==
arithmetic level,support,numeric constraints attribute
constraint conversion strategy,translate,complex construct equivalent simple one
feature,have,unique identifier
feature tree keyword,be part of,feature model
uvl,institution,university seville
kevin feichtinger,author,uvls
arithmetic level,encapsulate,arithmetic expression feature
string-constraints,introduce,len function
uvl,use keyword,feature cardinality
boolean level,support,=> operator
boolean core,contain,alternative keyword
boolean level,include,optional group type
boolean level,support,pure::variant
type level,introduce,type feature
numeric-constraints,introduce,floor function
type level,support operator,len
uvl,support operator,floor
uvl,support operator,avg
cross-tree constraints,research institution,karlsruhe institute technology
arithmetic level,support operator,avg
feature tree keyword,use for,keywords parent-child relationships
feature tree keyword,support,feature cardinality
feature tree keyword,support,mandatory relationship
arithmetic level,support,subtraction operator
language extension,allow,uvl model
type level,support,integer feature
uvl,support operator,<=>
uvl,property,human-readable
uvl,support operator,!
uvl,use keyword,boolean value
cross-tree constraints,use aggregate function,avg
cross-tree constraints,additional,tree-like structure
uvl,use keyword,string feature
boolean level,feature value,0
cross-tree constraints,subject publication,chico sundermann
uvl,support operator,&
arithmetic level,support operator,-
string constraint,support,len
numeric-constraints,be,minor level
uvl,feature type,boolean value
string constraint,allow,len function
uvl,use keyword,include
uvl,intend,pivot language
arithmetic level,support,aggregate function
cross-tree constraints,use arithmetic operator,-
term,include,constant
uvl,contributor,chico sundermann
minor language level,follow,hierarchical structure
language extension,declare keyword,include keyword
feature tree keyword,include,alternative
language extension,allow,model tailoring
feature tree keyword,include,group cardinality
uvlparser,implement,conversion strategy
uvl,operator,floor
cross-tree constraints,support boolean operator,|
uvl,institution,jku linz
uvl,operator,avg
boolean level,contain minor level,group cardinality
feature tree keyword,require,exactly root feature
arithmetic level,include function,sum
arithmetic level,part of,language level type level
boolean level,operator,!
cross-tree constraints,operator,=>
uvl,include,boolean level extension
arithmetic level,include,boolean level extension
cross-tree constraints,use numeric function,ceil
arithmetic level,identify keyword,arithmetic
uvl,operator,!
uvlparser,support,language level type level
exclude relationship,imply,feature incompatibility
uvl,support operator,>
arithmetic level,support operator,>
type level,introduce,float feature
uvl,repository,uvlhub
uvl,operator,&
uvl,use for,knowledge sharing
chico sundermann,affiliate,university ulm
uvl,product,modevar initiative
arithmetic level,use hierarchy,boolean level extension
thomas thüm,author,uvls
boolean level,support,boolean expression feature
v4rdiac,support,language level type level
type level constraint,use for,type feature
arithmetic level,contain minor level,aggregate-function
uvl,support,tool interoperability
cross-tree constraints,operator,<=>
boolean level,contain,constraints keyword
cross-tree constraints,include,mandatory relationship
minor language level,separate language,require reasoning engine
minor language level,include,boolean level extension
uvl,show hierarchy,indentation block
cross-tree constraints,reference submodel feature,namespace notation
feature,require,unique
type string-constraints,allow,len
type level,contain minor level,string-constraints
type level,occupy high position,language level type level
uvl,support,javascript parser
feature tree keyword,include,relationship
uvl,develop,johannes kepler university linz
cross-tree constraints,subject publication,thomas thüm
uvl,integrate,flamapy
uvl,designer,josé a. galindo
cross-tree constraints,use comparison operator,<
uvl,institution,tu braunschweig
uvl,support operator,/
feature cardinality,enable,select feature multiple time
string constraint,add,string comparison
arithmetic level,support operator,/
type level,support operator,string comparison
uvl,develop,university málaga
type level,contain minor level,numeric-constraints
uvl,support operator,<=
term,include,variable
arithmetic level,support operator,<=
string constraint,introduce,len
arithmetic level,operator,-
cross-tree constraints,use arithmetic operator,/
cross-tree constraints,store,separately feature tree
cross-tree constraints,support boolean operator,=>
uvl,design goal,expressiveness
type level,include keyword,type
boolean level,include,mandatory keyword
feature tree keyword,include,mandatory group
boolean level,support,ddueruem
cross-tree constraints,use comparison operator,>
arithmetic level,support,arithmetic expression feature
arithmetic level,include,numeric attribute
string-constraints,add,string length constraint
minor language level,categorize,minor level
term,include,function
uvl,operator,len
cross-tree constraints,research institution,johannes kepler university linz
minor language level,enhance,expressiveness
uvl,design goal,simplicity
minor level,include,string length constraint
type level,conversion strategy,transforms non-boolean features boolean features attributes
boolean level,support,fm fact label
cross-tree constraints,use keyword,numerical constraint
arithmetic level,contain minor level,feature-cardinality
uvl,develop,university seville
type level,use keyword,real
boolean level,support,group
type level,declare keyword,type
arithmetic level,include,arithmetic core
sub-model constraints,apply,compose model
university seville,contribute,uvls
uvl,support operator,==
arithmetic level,support operator,==
boolean level,include,relationship
type level,use keyword,integer
uvl,use for,tool interoperability
type level,introduce,integer feature
cross-tree constraints,use comparison operator,>=
arithmetic level,include extension,aggregate function
uvl syntax,use keyword,numerical constraint
uvl,facilitate,knowledge sharing
cross-tree constraints,include,numerical constraint
boolean level,support,& operator
boolean core,include,cross-tree constraints
arithmetic level,use by,clafer
josé a. galindo,author,uvls
arithmetic level,support,numerical constraint
type core,support,string feature
cross-tree constraints,research institution,university seville
boolean level,feature,boolean value
uvl,major level,boolean value
boolean level,include,alternative group
boolean level,include,mandatory group
group cardinality,enable,select n m child
uvl,be,human-readable
uvl,mechanism,import
language extension,include,major level
arithmetic level,contain,arithmetic core
uvl,enable,composition model
string constraint,drop,conversion strategy
type level,include,string feature
type string-constraints,allow,string comparison
feature,may have,feature attribute
cross-tree constraints,composition,apply submodel constraint compose model
uvl,use keyword,integer
uvl,stand,uvls
uvl,support operator,!=
uvl,operator,==
arithmetic level,support operator,!=
boolean level,include,boolean core
uvl,support operator,*
indentation,denote relationship,feature group
arithmetic level,support operator,*
uvl,designer,rick rabiser
uvl,feature type,integer
type level,contain minor level,string length constraint
arithmetic level,operator,<=
uvl,designer,david benavides
boolean level,use by,featureide
uvl,contributor,kevin feichtinger
uvl,represent,feature model
cross-tree constraints,use arithmetic operator,*
boolean level,support,nemo
type level,allow,non-boolean feature values
language extension,be,language level type level
boolean level,target level,conversion strategy
uvl,support,python parser
cross-tree constraints,operator,|
feature tree keyword,major,uvl model
boolean level,include keyword,mandatory
uvl,use keyword,mandatory
uvl,type,textual language
type level,introduce,non-boolean feature values
uvl,support operator,=>
major level,include,boolean level extension
arithmetic level,reasoning engine,smt solver
boolean level,be part of,language level type level
uvl,operation,educational instruction
type level,include extension,numerical constraint
minor language level,group construct,require reasoning engine
type level,include,integer feature
uvl,use indentation,tree hierarchy
